Date,Sample Name,VialNo,Meas Mode,Peak Scale,Inj#,Max Inj#,Inj. Counts,Ave. Conc,Unit,Ave. Area,SD(Conc),CV(Conc),SD(Area),CV(Area)
2022/12/10 5:46:3,4               ,27,TC,800,1,1,1,9.922494,mg/L,21.780000,0.000000,0.000000,0.000000,0.000000
Injection #,Start ID,End ID,Data Counts,Conc,Area,Remark,Inj. Vol.,Dil. Factor,Ex.,Cal#
1,0,123,124,9.922494,21.780000,,50,1.000000,,TC3
ID,Peak Data
0,   0.013
1,   0.008
2,   0.011
3,   0.016
4,   0.018
5,   0.008
6,   0.009
7,   0.003
8,   0.007
9,   0.011
10,   0.020
11,   0.025
12,   0.043
13,   0.035
14,   0.051
15,   0.103
16,   0.234
17,   0.517
18,   0.950
19,   1.625
20,   2.478
21,   3.420
22,   4.400
23,   5.389
24,   6.269
25,   7.009
26,   7.564
27,   7.957
28,   8.166
29,   8.280
30,   8.367
31,   8.408
32,   8.448
33,   8.492
34,   8.498
35,   8.488
36,   8.450
37,   8.350
38,   8.181
39,   7.919
40,   7.569
41,   7.107
42,   6.619
43,   6.093
44,   5.531
45,   4.979
46,   4.457
47,   3.945
48,   3.483
49,   3.070
50,   2.674
51,   2.357
52,   2.050
53,   1.785
54,   1.548
55,   1.372
56,   1.208
57,   1.051
58,   0.933
59,   0.845
60,   0.730
61,   0.647
62,   0.600
63,   0.554
64,   0.479
65,   0.440
66,   0.409
67,   0.374
68,   0.359
69,   0.333
70,   0.294
71,   0.282
72,   0.272
73,   0.261
74,   0.246
75,   0.244
76,   0.216
77,   0.215
78,   0.158
79,   0.170
80,   0.171
81,   0.175
82,   0.163
83,   0.171
84,   0.170
85,   0.162
86,   0.139
87,   0.158
88,   0.151
89,   0.138
90,   0.120
91,   0.108
92,   0.123
93,   0.111
94,   0.107
95,   0.120
96,   0.123
97,   0.113
98,   0.121
99,   0.118
100,   0.119
101,   0.100
102,   0.108
103,   0.107
104,   0.102
105,   0.104
106,   0.071
107,   0.102
108,   0.113
109,   0.104
110,   0.087
111,   0.087
112,   0.087
113,   0.076
114,   0.079
115,   0.088
116,   0.094
117,   0.086
118,   0.052
119,   0.075
120,   0.074
121,   0.051
122,   0.058
123,   0.060
Date,Sample Name,VialNo,Meas Mode,Peak Scale,Inj#,Max Inj#,Inj. Counts,Ave. Conc,Unit,Ave. Area,SD(Conc),CV(Conc),SD(Area),CV(Area),TOC（TC-IC)
2022/12/10 5:46:3,4               ,27,IC,800,1,1,1,0.153140,mg/L,15.470000,0.000000,0.000000,0.000000,0.000000,9.769354
Injection #,Start ID,End ID,Data Counts,Conc,Area,Remark,Inj. Vol.,Dil. Factor,Ex.,Cal#
1,0,114,115,0.153140,15.470000,,800,1.000000,,IC2
ID,Peak Data
0,   0.030
1,   0.032
2,   0.011
3,   0.030
4,   0.021
5,   0.003
6,   0.007
7,   0.009
8,   0.009
9,   0.007
10,   0.007
11,  -0.015
12,  -0.006
13,   0.030
14,   0.100
15,   0.232
16,   0.529
17,   0.978
18,   1.630
19,   2.485
20,   3.479
21,   4.571
22,   5.696
23,   6.740
24,   7.612
25,   8.321
26,   8.730
27,   8.915
28,   8.922
29,   8.834
30,   8.528
31,   8.069
32,   7.549
33,   6.937
34,   6.296
35,   5.687
36,   5.088
37,   4.550
38,   4.044
39,   3.600
40,   3.175
41,   2.809
42,   2.474
43,   2.180
44,   1.924
45,   1.681
46,   1.532
47,   1.338
48,   1.177
49,   1.052
50,   0.916
51,   0.807
52,   0.714
53,   0.640
54,   0.560
55,   0.497
56,   0.432
57,   0.380
58,   0.344
59,   0.301
60,   0.247
61,   0.216
62,   0.217
63,   0.189
64,   0.167
65,   0.153
66,   0.154
67,   0.129
68,   0.117
69,   0.113
70,   0.102
71,   0.095
72,   0.081
73,   0.080
74,   0.079
75,   0.051
76,   0.046
77,   0.046
78,   0.060
79,   0.036
80,   0.036
81,   0.041
82,   0.039
83,   0.043
84,   0.018
85,   0.019
86,   0.018
87,   0.026
88,   0.030
89,   0.036
90,   0.030
91,   0.034
92,   0.038
93,   0.040
94,   0.040
95,   0.018
96,   0.040
97,   0.033
98,   0.042
99,   0.044
100,   0.024
101,   0.045
102,   0.047
103,   0.030
104,   0.044
105,   0.049
106,   0.030
107,   0.034
108,   0.038
109,   0.026
110,   0.038
111,   0.020
112,   0.015
113,   0.040
114,   0.033
Date,Sample Name,VialNo,Meas Mode,Peak Scale,Inj#,Max Inj#,Inj. Counts,Ave. Conc,Unit,Ave. Area,SD(Conc),CV(Conc),SD(Area),CV(Area)
2022/12/10 5:55:27,4               ,28,TC,800,1,1,1,9.081675,mg/L,19.990000,0.000000,0.000000,0.000000,0.000000
Injection #,Start ID,End ID,Data Counts,Conc,Area,Remark,Inj. Vol.,Dil. Factor,Ex.,Cal#
1,0,114,115,9.081675,19.990000,,50,1.000000,,TC3
ID,Peak Data
0,  -0.005
1,  -0.004
2,   0.017
3,   0.018
4,   0.002
5,   0.001
6,   0.017
7,   0.005
8,   0.008
9,   0.010
10,   0.016
11,   0.008
12,   0.007
13,   0.017
14,   0.041
